w,pron,fra,spa,hin,deu,jpn,fin,bul,nor,dan,ara,ces,cym,ell,gle,hrv,hun,ita,lat,lit,nld,pol,por,rom,rus,srp,swe,swh,tur,afr
silly,/ˈsɪli/,,,"अल्पबुद्दि, I was rather silly to let the strangers in who robbed me., Stop playing silly games, you are old enough to be serious.",,"馬鹿, 他愛ない, 馬鹿げた, 阿呆, 馬鹿, 馬鹿, 愚鈍, 阿呆, つまらない","hölmö, typerä, ajattelematon, hölmö, typerä, vastuuton, hölmö, yksinkertainen, hassu, sekava","глу́пав, тъп, игрив","fjollete, tullete",,,hlupáček,,,,"besmislen, blesav, budala, budalast, glup, lud, slabouman","hülye, gyengeelméjû, szenilis, meggondolatlan, jámbor, kelekótya személy, hülye alak, kótyagos, naiv, bolondos személy, elhamarkodott, csacska, mesterkéletlen, ostoba személy, kábult, ostoba, esztelen, egyszerû, bódult, buta, együgyü",,,"paikas, kvailas, kvailokas, nerimtas, neprotingas, (šnek.) apkvaišęs, apdujęs (nuo smūgio ir pan.), (ret.) silpnaprotis",,,"bobo, idiota, imbecil, absurdo, ridículo",,,,,,"sersem, şaşkın, budala, akılsız, divane, ahmak, ahmakça, gülünç, sersemlik kabilinden, budalaca, saçma. sillily  ahmakça. silliness  ahmaklık, saçmalık.",
silver,silvər,argent,plata,"चाँदी चढ़ाना, He owns a fine silvered bracelet.",,"銀貨, 銀, 銀色, 銀, 銀器, 銀製品, 銀, 白銀","hopeanvärinen, hopeinen, hopeanvärinen, hopeinen, metallinen, hopeinen","сре́бърен, сребри́ст, сре́бърен",sølv,,,stříbrné peníze,,,airgead,"posrebriti, srebra, srebrenog, srebrno, srebro",ezüst,argento,"argenteus, argentum","sidabras, sidabrinis, sidabruoti","zilveren, zilver",,"argênteo, argentino, prateado, prata",,,,silver,,"gümüş kaplamak, gümüşlü civa ile sırlamak (ayna), gümüş gibi parlatmak, (foto.) gümüş nitratla kaplamak, gümüş gibi beyaz ve parlak olmak.",silwer
similar,similər,"pareil, semblable",semejante,"समान, तुल्य, Those twins are similar in physical features but different by nature.",,"似る, 相似","samanlainen, samankaltainen, yhdenmuotoinen","подо́бен, сходен, подобен",,,,obdobný,cyffelyb,,,"analogan, istoimeni, istovjetan, konformni, sl., sličan, slične, sličnim",hasonló,simile,,panašus,"gelĳksoortig, soortgelĳk, eender, gelĳkend, gelĳkvormig",,"semelhante, similar, parecido",,,,liknande,,"benzer, müşabih, bir birine yakın, (geom.) şekilde aynı olan, benzeyen şey. similarity  benzeyiş, benzerlik. similarly  bunun gibi, aynı, aynı şekilde.",
similarly,/ˈsɪmələli/,,,"समान रूप से, उसी प्रकार से, Those two friends dress similarly.",,同様,"samaten, samoin, vastaavasti","по същия начин, подобно",,,,podobně,,,,,"hasonlóképpen, hasonlóan",,,panašiai,op dezelfde manier,,"similarmente, igualmente, da mesma forma",,,,,,,
simple,simpl,"pur, simple","sencillo, simple","निष्कपट, He is the most simple person in the whole staff., सादा, She wore a very simple dress in the party., सरल, He teaches in a simple way.",,"簡単, 単純, 易い","yksinkertainen, selko-, simppeli","наивен, простодушен, прост, ле́сен",,,,naivní,syml,,,"bezazlen, glup, jednostavan, jednostavna, jednostavni, jednostavnih, jednostavnim, jednostavno, jednostavnoj, jednoznamenkast, naivan, pravilan, prost, prostak, prostodušan, prostota, prvog stupnja","mesterkéletlen, bamba, egyszerû, együgyû, valóságos",semplice,,"paprastas, nesudėtingas, naivus, atviraširdis, nuoširdus, kvailas, kuklus, nekilmingas, eilinis, prasčiokiškas, naivuolis, mulkis, prastuolis, vaistažolė","aalwaardig, aalwarig, eenvoudig, enkelvoudig, simpel",,"simples, singelo",,,,simpel,,"basit, bileşik olmayan, sade, süssüz, (bot.) yalın (yaprak), (zool.) münferit, tek, adi, bayağı, kolay, saf, halis, tabii, suni olmayan, yapmacıksız, budala, alık, ahmak, ahmakça, önemsiz, ehemmiyetsiz, kolay anlaşılır, ancak yeterli, basit şey, ilâç yapılan ot, budala kimse. simple fraction bayağı kesir. simple fracture basit kırık. simple hearted  saf yürekli, temiz kalpli. simple interest basit faiz. simple machine basit makina. simpleminded  cahil, kendi halinde, akıl noksan, aptal. Simple Simon saf ve aptal kimse. simpleness  sadelik, basitlik, saflık, bönlük.",
simply,/ˈsɪmpli/,,,,,,"yksinkertaisesti, vain","просто, само","ganske enkelt, intet mindre enn, rett og slett",,,prostě,,,,"bezazleno, jedino, jednostavno, potpuno, prosto, samo, sasvim","csupán, csak, egyszerûen",,,"paprastai, nesunkiai, tik, tiesiog, visiškai, nuoširdžiai, be gudravimo",,,simplesmente,,,,,,"ancak, sadece, basit olarak, budalaca, (k. dili) tamamen.",
since,sins,"à partir de, depuis, dès, attendu que, car, comme, parce que, puisque, vu que","de, desde, porque, puestoque, yaque",,,"ため, によって, により, から, ので, から, より","sen jälkeen, siitä lähtien",оттогава,"da, fordi, siden, siden",,,od té doby co,ers,,de,"budući da, jer, kako, od, odonda, otada, otkad, otkada, otkako, poslije, pošto, prije","-tôl, mivel, attól kezdve, minthogy, vmilyen idôponttól, amióta, attól fogva, hogy, miután, -tól, attól fogva, mióta csak, óta, mert, azóta","di, considerato che, visto che","a, ab, abs, quia, quod","nuo, nuo to laiko, nuo tada, kai, kadangi, jei taip","sinds, sedert, vanaf, met ingang van, al vanaf, aangezien, daar, omdat, vermits, want, wĳl",,"desde, desde quando, a partir de, posto que, visto que",,,,"alltifrån, av, efter",,"(edat), (bağlaç) o zamandan beri, ondan sonra, sonradan, çok evvel, çoktan beri, (edat) -(den.) beri, olalı, edeli, -(den.) sonra, (bağlaç) -(den.) beri, -dan dolayı, çünkü, mademki.","sedert, aan, af, deur, van, vanaf, aangesien, omdat, want"
sincere,sinsiər,sincère,sincero,,,誠実,vilpitön,и́скрен,oppriktig,,,upřimný,,,,"iskren, istinit, nepatvoren, odan, otvoren, ozbiljan, pravi","szívbôl jövô, egyenes, komoly, hûséges, nyílt, ôszinte, igaz, lélekbôl fakadó, vegyítetlen",sincero,,"nuoširdus, tikras, atviraširdis, tiesus, sąžiningas","innig, ongeveinsd, oprecht, rondborstig, trouwhartig, zuiver",,"franco, sincero",,,,,,"içten, samimi, sadık, gerçek, hakiki, sahte olmayan. sincereness, sincerity  içtenlik, samimiyet, hulüs, hüsnüniyet",innig
sincerely,/sɪnˈsɪəli/,,,,,,"todella, vilpittömästi","искрено, откровено",,,,opravdově,,,,"iskren, odan","nyíltan, komolyan, ôszintén, szívbôl",,,,,,sinceramente,,,,,,"içtenlikle, samimiyetle. Yours sincerely Saygılarımla.",
sing,siŋ,chanter,cantar,"गाना गाना, He sings beautifully.",,"歌う, 鳴く","laulaa, vasikoida, olla laulettavissa, ujeltaa, viheltää, laulaa, laulaa, lausua, laulaa (uneen)","изпявам, звъня, пе́я, пея",synge,,,zpívat,canu,,,"hujati, opjevati, pisati pjesme, pjevati, proslaviti, zavijati, zujati, zvoniti",,cantare,"canere, cantare, canturire","dainuoti, giedoti","zingen, bezingen",,cantar,,"петь, спеть",,sjunga,,"(sang, sung)  şarkı söylemek, terennüm etmek, çağlamak, ıslık gibi ses çıkarmak, uğuldamak (rüzgar), çınlamak (kulak), şiir okumak, ötmek, şakımak, (argo) suçu açığa vurmak, (k. dili) şarkı söyleme, terennüm, özellikle birçok kimsenin bir arada şarkı söylemesi, kurşun vızıltısı. sing ones praises birini hararetle methetmek. sing out bağırmak, seslenmek. singable  şarkı gibi söylenebilir, terennüm edilebilir.",sing
singer,siŋər,"chanteuse, chanteur","cantora, cantor",,,歌手,laulaja,"певи́ца, певе́ц","sangerinne, sanger",,,pěvec,,,,"pjesnik, pjevač, pjevačica, ptica pjevačica",énekes,cantante,"cantrix, cantor",,"zangeres, zanger",,"cantora, cantador",,,,"sångerska, sångare",,"şarkı söyleyen kimse, şarkıcı, muganni, hanende, ozan, şair, aşık, ötücü kuş.",sanger
singing,/ˈsɪŋɪŋ/,,,,,歌唱,"laulu, laulaminen","издайничество, пе́ене",,,,zpívající,,,,"pištanje, pjevanje, zujanje, zvučna oscilacija (prijenosnog kruga)","begerjedés, énekóra, ének, éneklô, zümmögés, fütyülés, madárdal, daloló, dalolás, fütyülô, nótázó, madárfütty, éneklés",,"cantus, carmen",,"gefluit, zang, gezang",,,,,,sång,,,
single,siŋgl,célibataire,soltero,"एक, एक ही, एकमात्र, Please give me a single piece of paper.",,"一倍, 一重, 単独, 独身, 未婚, 独り","poimia, valita","единичен, еди́нствен, единен, сам",,,,jednotlivec,sengl,,,"izdvojiti se, jedan, jedini, jedinstven, jedinstvene, jednim, jedno, jednostavan, jednostruk, jednostruko, neoženjen, odabrati, pojedinačan, pojedinačnih, poseban, sam, samac","kislemez, egy, magában élô, egyszeri, külön, fark, segítség nélkül elvégezhetô, magában álló, becsületes, összesen egy, egyetlen, egyszerû, egyes játék, egyes, ôszinte, egyszeri utazásra szóló jegy, szimpla, egy utazásra szóló jegy, egyedülálló, szóló játék, magányos, magányosan álló, egyágú, páratlan, egyedüli, egyedül élô, egyedül elvégezhetô, nôtlen",,"agamus, cælebs","vienas, vienintelis, vienišas, nevedęs, atskiras, pavienis, (apie bilietą) į vieną pusę, atrinkti, išrinkti","ongehuwd, ongetrouwd, alleenstaande, alleenstaand, enkel, afzonderlĳk, alleen, eenzaam",,"unidade, simples, único, sozinho, solteiro, selecionar, fazer um por um, retirar",,,,"ogift, ensamstående",,"tek, bir, yalnız, ayrı, münferit, bekar, evlenmemiş, özel, hususi, tek kişilik, iki tarafta yalnız birer rakip bulunan (oyun), sağlam, sade, basit, saf, bir kat, yalın kat, çiçekleri yalın kat olan, (gen.) (çoğ.) teniste tekler, single, golfta iki oyuncu ile oynanan oyun, beysbolda vurucuyu birinci kaleye ulaştıran vuruş, krikette bir sayı kazandıran vuruş, tek kişilik oda. single barrel tek namlulu (tüfek) . single entry (tic.) basit defter tutma. usulü, ana deftere bir kere kaydetme, bir kerelik giriş. single file birbiri arkasına dizilen sıra, tek sıra. single tax (tic.) tek dereceli vergi. singletrack  tek hatlı, tek yönlü, tek açıdan değerlendiren.",ongetroud
sink,siŋk,"forer, rencontrer, toucher",bucear,"हौदी, Utensils are washed in the kitchen sink.",,"沈める, 沈む","upottaa, upota, vajota","мивка, умивалник, отточна тръба","senke, synke",håndvask,,"klesnout, snížit",soddi,,,"izdubiti, odvodni kanal, padati, popuštati, potonuti, potopiti, potopiti brod, prijamnik (podala ka), propadati, spuštati se, sudoper, sudoper s izljevom, tonuti, transduktor, ulegnuće, utonuti, četvoropol","süllyesztô, konyhai kiöntô, mélyfúrás, mosogató, akna, mosdókagyló, tartály, emésztô gödör",,,,"aan de grond raken, zinken, aanboren, inzinken, wegzakken, doen zinken, tot zinken brengen, duiken, onderduiken",,afogar-se,,,,sjunka,,"(sank, sunk veya sunken) batmak, garkolmak, yıkılmak, halsizlikten düşmek, irtifa kaybetmek, düşmek: dalmak, derinliğine gitmek: ağır ağır inmek: girmek: etkilemek, tesir etmek, içine işleyip girmek: çukurlaşmak: yavaş yavaş ölmek: gurup etmek: batırmak, daldırmak: indirmek: gururunu kırmak, azaltmak, eksiltmek: para yatırmak: kazıp açmak. sinking fund itfa sermayesi, amortisman sandığı.",aanboor
sir,saiər,monsieur,"caballero, señor",,,"サー, 旦那, 旦那様, 旦那",herra,господи́н,,,,pán,,,,"gospodin, gospodine, pijandura, pijančiti",,signore,dominus,,"meneer, mĳnheer",,"amo, patrão, senhor",,,господин,herr,,"efendim, beyefendi: b.h. bir asalet ünvanı, sör.","heer, Meneer, Mnr."
sister,sistər,sœur,hermana,"बहन, How many sisters do you have?",,,,,,,,sestra,chwaer,,deirfiúr,"dvojnik, parnjak, redovnica, sestra, sestrinski","lánytestvér, nôvér, húg",sorella,,sesuo,"zus, zuster",,irmã,,сестра,сестра,svägerska,,"kızkardeş, hemşire, bacı, abla, kardeş (kız), aynı cinsten olan kimse veya şey, rahibe, hemcins, kızkardeş gibi. sisterinlaw  görümce, yenge, baldız. elder sister abla. half sister üvey kızkardeş . lay sister rahibe namzedi. sisterly  kız kardeş gibi, kızkardeşe yakışır.",suster
sit,sit,"couver, être assis, sièger",estarsentado,"बैठना, He requested her to sit., Teacher made the students to sit quitely.",,"座る, 腰掛ける, 受け入れる, ある, いる, 座る","istuutua, istua, sopia, maata, olla, seistä","се́дна, ся́дам, седя́, седя","sette seg, sitte",,,zasedat,eistedd,,suigh,"ležati, pozirati, pristajati, sjediti, sjesti, zasjedati, zauzimati",,sedersi,incubare,"sėdėti, posėdžiauti, perėti, tikti (apie drabužį)","broeden, broeden op, koesteren, zitten",,"chocar, incubar, estarsentado, terassento",,"сидеть, посидеть",,"häcka, ruva, sitta",,"(sat, -ting) oturmak, çömelmek, tünemek, kuluçkaya yatmak, filanca tarafta bulunmak, toplantıda üye sıfatı ile oturmak: toplantı yapmak, toplanmak, ressam veya heykeltıraşa modellik etmek, resim çektirmek için poz vermek, binip oturmak (ata), oturtmak. sit at ones feet talebesi olmak . sit by ilgilenmemek sit down oturmak . sit in on misafir sıfatıyle toplantıya katılmak . sit on toplantıda ele almak, (k. dili) susturmak, ağzını kapatmak. sit on the fence tarafsız kalmak. sit on the lid meseleyi örtbas etmeye çalışmak. sit on the throne hükümdarlık tahtına oturmak, kral olmak. sit out sonuna kadar oturmak, baloda bir dans esnasında oturmak. sit over (argo) sıkışıp başkasına da yer vermek. sit pretty (A.B.D.), (argo) kârlı durumda bulunmak. sit tight (k. dili) sonuç elde edilinceye kadar harekete geçmemek. sit up dik oturmak, yolunu beklemek, ilgi göstermek. The wind sits in the east Rüzgar doğudan esiyor.",aansit
sit down,sitdaun,asseoir,,"हड़ताल, The workers of this mill are on sit down.",,"座る, 腰掛ける",istuutua,"се́дна, ся́дам",,,,sedat si,,,,,,,assidere,sėstis,"gaan zitten, plaatsnemen, zich zetten",,"sentar-se, assentar-se",,"садиться, сесть",,,,,
site,/saɪt/,,,"स्थल, I'll visit sacred site tomorrow evening.",,,"sivusto, paikka, sijaintipaikka","интернет страница, място, място, местоположе́ние, позиция",,,,místo,,,,"gradilište, kraj, lokacija, lokaciji, lokalitet, mjesto, mjesto za kampiranje, parcela, plac, položaj, predio, predjel, stranice, zemljište, čvor u sustavu BBS-a za razmjenu poruka","helyzet, házhely, telek, fekvés, hely",,,"sklypas, vieta, aikštelė, šonas, kraštas, šlaitas, padėtis, išsidėstyti, dislokuoti, išrinkti vietą",ligging,,"local, situação","poziție, situație, amplasament",,,,,"yer, mevki, mahal, mevzi.",
situation,sitʃueiʃən,situation,,"हालत, Act reasonably in all situations.",,"場所, 位置, 状況, 状態, 境遇, 状況, 状態, 境遇, 情況, 状況, 情勢","sijainti, tilanne, asema, tehtävä, työpaikka, tilanne, olosuhteet, olot","местоположе́ние, състояние, положе́ние, ситуа́ция, положение, обстановка",,,,místo,sefyllfa,,,"mjesto, okolnost, položaj, prilikama, raspoređen, situacija, situaciju, slučaj, služba, smještaj, stanje","helyzet, elhelyezkedés",,,"padėtis, situacija, aplinkybės, vietovė, vieta, tarnyba, epizodas","situatie, stand, stand van zaken, toestand",,"circunstância, condição, posição, situação",,,,situation,,"yer, mevki, mahal, hal, vaziyet, durum, görev, vazife, memuriyet.","situasie, toestand"
six,siks,six,seis,,,,,,,seks,,šestka,,,sé,šest,"hatos ütés, hat, hatos, hathengeres kocsi",sei,sex,šeši,zes,,seis,,шесть,шест,sex,,"altı, altı rakamı veya sayısı (6, VI), tavlada şeş. sixfold   altı kat, altı misli. sixfooter  altı ayak boyunda kimse, uzun boylu kimse. six of one, half a dozen of another ya bu, ya öbürü. at sixes and sevens tam bir düzensizlik içinde, keşmekeş halinde. double sixes düşes.",ses
sixteen,sikstiːn,seize,diezyseis,"सोलह, There are sixteen ounces in a pound.",,十六,kuusitoista,"шестна́десет, шестна́йсет",seksten,,,šestnáct,,,sé déag,šesnaest,tizenhat,sedici,sedecim,šešiolika,zestien,,dezesseis,,,,sexton,,"on altı, on altı sayısı veya rakamı. sixteenth   on altıncı, on altıda bir. sixteenth note (müz.) on altılık nota, iki çengelli nota. sixteenth rest (müz.) on altılık es. sweet sixteen genç kızın en şirin ve tatlı yaşı.",sestien
