id,en,zh,py,vi,vi2
948,The rabbit ran to the woods and did not come back any more.,兔子跑进了森林再也没有出来了。,Tùzǐ pǎo jìnle sēnlín zài yě méiyǒu chūláile.,Con thỏ chạy vào rừng và không bao giờ đi ra.,con thỏ chạy vào rừng rậm rốt cuộc không có hiện ra .
949,Tom and Mary congratulated us on the birth of our daughter,汤姆和玛丽为我们女儿的出生向我们表示 祝贺,Tāngmǔ hé mǎlì wèi wǒmen nǚ'ér de chūshēng xiàng wǒmen biǎoshì zhùhè.,Tom và Mary chúc mừng chúng tôi vì sự ra đời của con gái chúng tôi,xúp mẫu và mã lệ là chúng ta con gái xuất sinh hướng chúng ta tỏ vẻ chúc mừng
950,I can't help eating sweets whenever they are in my presence.,我无论什么时候一看到甜食就忍不住要吃。,Wǒ wúlùn shénme shíhòu yī kàn dào tiánshí jiù rěn bù zhù yào chī.,"Bất cứ khi nào tôi nhìn thấy đồ ngọt, tôi không thể không ăn.",ta bất kể khi nào vừa nhìn thấy đồ ngọt liền không nhịn được muốn ăn .
951,I am vacuuming the floor now and have several shirts to iron,我正在用真空吸尘器清理地板，还有好几件衬衫要熨。,"Wǒ zhèngzài yòng zhēnkōng xīchénqì qīnglǐ dìbǎn, hái yǒu hǎojǐ jiàn chènshān yào yùn.","Tôi đang dọn dẹp sàn nhà bằng máy hút bụi, và có một số áo sơ mi được ủi.","ta đang dùng thật trống máy hút bụi kiểm tra sàn nhà , còn có mấy kiện áo sơmi muốn ủi ."
952,I will love you until the seas run dry and the rocks crumble.,我将爱你直到海枯石烂。,Wǒ jiāng ài nǐ zhídào hǎikūshílàn.,Tôi sẽ yêu bạn cho đến khi biển khô.,ta đem yêu ngươi mãi đến khi sông cạn đá mòn .
953,There is a broken small old gray stone bridge over the river,河上有一座破烂不堪的、古老的、灰色的小石桥。,"Héshàng yǒu yīzuò pòlàn bùkān dì, gǔlǎo de, huīsè de xiǎo shíqiáo.","Có một cây cầu đá rách rưới, cổ xưa trên sông.","trên sông có một toà rách mướp , cổ lão , màu xám cầu đá nhỏ ."
954,No wonder people say that computers are taking over the world.,难怪有人说电子计算机正渐渐接管世界。,Nánguài yǒu rén shuō diànzǐ jìsuànjī zhèng jiànjiàn jiēguǎn shìjiè.,Không có gì ngạc nhiên khi một số người nói rằng máy tính điện tử đang dần chiếm lấy thế giới.,chẳng trách có người nói máy vi tính đang dần dần tiếp quản thế giới .
955,The enormous increase of population will create many problems.,巨大的人口增长将产生很多问题。,Jùdà de rénkǒu zēngzhǎng jiāng chǎnshēng hěnduō wèntí.,Một sự gia tăng dân số lớn sẽ gây ra nhiều vấn đề.,to lớn nhân khẩu tăng trưởng đem sinh ra rất hỏi nhiều đề .
956,There's nothing better for you than plenty of water and sleep.,你最好多喝水多休息。,Nǐ zuì hǎo duō hē shuǐ duō xiūxí.,Bạn nên uống nhiều nước hơn để nghỉ ngơi.,ngươi tốt nhất uống nhiều nước nghỉ ngơi nhiều .
957,You should always depend on yourself rather than someone else.,你应该是依靠你自己，而不足别人。,"Nǐ yīnggāi shì yīkào nǐ zìjǐ, ér bùzú biérén.","Bạn nên dựa vào chính mình, không phải cho người khác.","ngươi hẳn là dựa vào ngươi tự mình , mà không đủ người khác ."
958,I would like to express to all of you here our sincere welcome.,让我向在座诸位致以最真挚的欢迎。,Ràng wǒ xiàng zài zuò zhūwèi zhì yǐ zuì zhēnzhì de huānyíng.,Hãy để tôi cho tôi sự chào đón chân thành nhất cho mọi người.,để cho ta hướng chư vị đang ngồi gây nên dùng chân thật nhất chào mừng .
959,Many people prefer living in the country to living in the town.,许多人喜欢住在农村而不喜欢住在城市。,Xǔduō rén xǐhuān zhù zài nóngcūn ér bù xǐhuān zhù zài chéngshì.,Nhiều người thích sống ở nông thôn và không thích sống trong thành phố.,rất nhiều người thích ở tại nông thôn mà không thích ở tại thành thị .
960,Since I'm here I'd like to try a typical dish of this country.,既然来了，我想吃这个国家特有的食物。,"Jìrán láile, wǒ xiǎng chī zhège guójiā tèyǒu de shíwù.","Vì nó ở đây, tôi muốn ăn những món ăn độc đáo của đất nước này.","đã đến rồi , ta muốn ăn cái này đất nước đặc biệt đồ ăn ."
961,Walking up and down the stairs would beat any exercise machine.,上下楼梯可比什么健身器都要好。,Shàngxià lóutī kěbǐ shénme jiànshēn qì dōu yàohǎo.,Tốt hơn là đi lên xuống cầu thang hơn bất kỳ thiết bị thể dục nào.,trên dưới thang lầu có thể so sánh gì máy tập thể dục đều tốt hơn .
963,How ever you may work hard the boss will not be fully satisfied.,无论你有多努力，老板总不会完全满意。,"Wúlùn nǐ yǒu duō nǔlì, lǎobǎn zǒng bù huì wánquán mǎnyì.","Cho dù bạn làm việc chăm chỉ đến đâu, ông chủ sẽ không hoàn toàn hài lòng.","bất kể ngươi có nhiều nỗ lực , ông chủ vẫn sẽ không đầy đủ thoả mãn ."
965,You might as well throw your money away as spend it in gambling.,你与其把钱花在赌博上，不如把它丢掉的好。,"Nǐ yǔqí bǎ qián huā zài dǔbó shàng, bùrú bǎ tā diūdiào de hǎo.","Thay vì tiêu tiền vào cờ bạc, tốt hơn là nên vứt nó đi.","ngươi và đem tiền tiêu vào đánh bạc lên , không bằng đem nó vứt bỏ hảo ."
966,Can you put me in the picture about the World Cup Football Match?,你能给我讲讲关于世界杯足球赛的状况吗?,Nǐ néng gěi wǒ jiǎng jiǎng guānyú shìjièbēi zúqiú sài de zhuàngkuàng ma?,Bạn có thể cho tôi biết về tình trạng của trò chơi bóng đá World Cup không?,ngươi có thể cho ta nói một chút liên quan với thế giới chén bóng đá thi đấu tình hình không ?
967,I'm usually just using the search engines to look up information.,我通常只是用搜索引擎找一些资料。,Wǒ tōngcháng zhǐshì yòng sōusuǒ yǐnqíng zhǎo yīxiē zīliào.,Tôi thường chỉ tìm thấy một số thông tin với một công cụ tìm kiếm.,ta bình thường chỉ là dùng công cụ tìm kiếm tìm một ít tài liệu .
968,He goes home early everyday for fear that his wife would be angry.,他每天很早就回家，免得老婆生气。,"Tā měitiān hěn zǎo jiù huí jiā, miǎndé lǎopó shēngqì.","Anh về nhà rất sớm mỗi ngày, để không tức giận với vợ.","hắn mỗi ngày rất sớm liền về nhà , đỡ phải vợ tức giận ."
969,I regret to inform you that we are unable to offer you employment.,很遗憾地告诉你，我们无法雇用你。,"Hěn yíhàn de gàosù nǐ, wǒmen wúfǎ gùyòng nǐ.",Xin lỗi để nói với bạn rằng chúng tôi không thể thuê bạn.,"rất tiếc nuối kể ngươi nghe , chúng ta không cách nào thuê mướn ngươi ."
970,I will continue my learning though I am tired of learning English.,尽管我很烦英语，我还是要学它。,"Jǐnguǎn wǒ hěn fán yīngyǔ, wǒ háishì yào xué tā.","Mặc dù tôi khó chịu tiếng Anh, tôi vẫn phải học nó.","mặc dù ta vô cùng phiền tiếng Anh , ta vẫn còn muốn học nó ."
971,Li Bai is one of the greatest poets that have ever lived in China.,李白是中国有史以来最伟大的诗人之一。,Lǐbái shì zhōngguó yǒushǐ yǐlái zuì wěidà de shīrén zhī yī.,Li Bai là một trong những nhà thơ vĩ đại nhất trong lịch sử Trung Quốc.,"lí bạch là Trung Quốc từ trước tới nay vĩ đại nhất, thi nhân một trong ."
972,Many people complain that computers are taking over their jobs.,许多人抱怨说计算机正在接管人的工作。,Xǔduō rén bàoyuàn shuō jìsuànjī zhèngzài jiēguǎn rén de gōngzuò.,Nhiều người phàn nàn rằng máy tính đang tiếp quản công việc của người đó.,rất nhiều người phàn nàn nói máy tính đang tiếp quản người công việc .
973,The cupboards in her kitchen were full of things she did not need.,她厨房的橱柜中放满了她不需要的东西。,Tā chúfáng de chúguì zhōng fàng mǎnle tā bù xūyào de dōngxī.,Nội các nhà bếp của cô ấy chứa đầy những gì cô ấy không cần.,nàng phòng bếp tủ bát trong đổ đầy nàng không cần gì đó .
974,What he said did not annoy me much for I knew he did not mean it.,我并不在乎他所说的，我知道他不是那个意思。,"Wǒ bìng bùzàihū tāsuǒ shuō de, wǒ zhīdào tā bù shì nàgè yìsi.","Tôi không quan tâm những gì anh ấy nói, tôi biết anh ấy không có ý đó.","ta tịnh không để ý hắn nói tới , ta biết rồi hắn không phải ý tứ kia ."
975,He asked me some personal questions but I would never answer them.,他问了我几个个人问题，我根本不愿回答,"Tā wènle wǒ jǐ gè gè rén wèntí, wǒ gēnběn bù yuàn huídá.","Anh ấy hỏi tôi một vài câu hỏi cá nhân, và tôi không muốn trả lời","hắn hỏi ta mấy từng cái người vấn đề , ta căn bản không muốn trả lời"
976,I don't care where we go as long as we don't have to stand in line.,不管去哪里，只要不用站着排队就行。,"Bùguǎn qù nǎlǐ, zhǐyào bùyòng zhànzhe páiduì jiùxíng.","Bất kể bạn đi đâu, miễn là bạn không phải xếp hàng.","mặc kệ đi nơi nào , chỉ cần không cần đứng xếp hàng là được ."
977,She likes Mike a lot but she doesn't want to get married so early.,她喜欢迈克，但她不想那么早就结婚。,"Tā xǐhuān màikè, dàn tā bù xiǎng nàme zǎo jiù jiéhūn.","Cô ấy thích Mike, nhưng cô ấy không muốn kết hôn sớm như vậy.","nàng thích bước khắc , nhưng nàng không nghĩ sớm như vậy thì kết hôn ."
978,Why don't you find a job and end this dependence upon your parents?,你为何不找个职业．不再依靠你的父母呢?,Nǐ wèihé bù zhǎo gè zhíyè. Bù zài yīkào nǐ de fùmǔ ne?,Tại sao bạn không tìm thấy một nghề nghiệp. Bạn không còn dựa vào cha mẹ của bạn?,ngươi vì sao không tìm cái chức nghiệp ． không còn dựa vào cha mẹ của ngươi đâu ?
979,Will you please try to find out for me what time the train arrives?,能不能请你帮我查查火车什么时候到?,Néng bùnéng qǐng nǐ bāng wǒ chá chá huǒchē shénme shíhòu dào?,Bạn có thể yêu cầu bạn kiểm tra khi tàu đến?,có thể mời ngươi giúp ta điều tra thêm xe lửa khi nào đến ?
980,A good knowledge of English will improve your chances of employment.,英语好将有助于增加你们的就业机会。,Yīngyǔ hǎo jiāng yǒu zhù yú zēngjiā nǐmen de jiùyè jīhuì.,Tiếng Anh tốt sẽ giúp tăng cơ hội việc làm của bạn.,tiếng Anh hảo sẽ có trợ ở gia tăng các ngươi vào nghề cơ hội .
981,"If she finds out you spilled ink on her coat, she'll blow her stack",如果她发现你在她上衣上洒了墨水，她会大发脾气的。,"Rúguǒ tā fāxiàn nǐ zài tā shàng yī shàng sǎle mòshuǐ, tā huì dàfā píqì de.","Nếu cô ấy thấy rằng bạn rắc mực lên áo, cô ấy sẽ mất bình tĩnh.","nếu nàng phát hiện ngươi đang nàng áo lên đổ mực nước , nàng lại đại phát tỳ khí ."
982,I would be very grateful for information about entry to your college,若能寄给我贵校的入学申请材料我将十分感激。,Ruò néng jì gěi wǒ guìxiào de rùxué shēnqǐng cáiliào wǒ jiāng shífēn gǎn jī.,Tôi sẽ rất biết ơn nếu tôi có thể gửi tài liệu ứng dụng cho trường của chúng tôi.,nếu có thể gửi cho ta quý trường nhập học xin vật liệu ta sẽ cực kỳ cảm kích .
984,"On being introduced to somebody, a British person often shakes hands.",英国人被介绍给别人的时候常常和对方握 握手。,Yīngguó rén bèi jièshào gěi biérén de shíhòu chángcháng hé duìfāng wò wòshǒu.,"Khi người Anh được giới thiệu với người khác, họ thường bắt tay nhau.",người Anh được giới thiệu cho người khác lúc thường thường và đối phương nắm nắm tay .
985,"I want to take a walk along the river bank, singing my favorite songs.",我想在河边散步，唱我喜欢的歌。,"Wǒ xiǎng zài hé biān sànbù, chàng wǒ xǐhuān de gē.",Tôi muốn đi dạo bên bờ sông và hát bài hát tôi thích.,"ta nghĩ đang bờ sông tản bộ , hát ta thích bài hát ."
986,Many people believe that overweight results fromovereating and stress.,很多人认为肥胖超重是因为吃得过多和压力造成的。,Hěnduō rén rènwéi féipàng chāozhòng shì yīnwèi chī dé guòduō hé yālì zàochéng de.,Nhiều người nghĩ rằng béo phì là thừa cân vì quá nhiều và căng thẳng.,rất nhiều người nhận là mập mạp siêu trọng là bởi vì là ăn đến quá nhiều và áp lực tạo thành .
989,"This is the most wonderful day of my life, because I'm here with you now.",今天是我一生中最美好的一天，因为我现在和你在一起。,"Jīntiān shì wǒ yīshēng zhōng zuì měihǎo de yītiān, yīnwèi wǒ xiànzài hé nǐ zài yīqǐ.","Hôm nay là ngày tốt nhất trong cuộc đời tôi, bởi vì tôi đang ở bên bạn bây giờ.","hôm nay là ta trong đời tốt đẹp nhất một ngày , bởi vì ta bây giờ và ngươi đang cùng nơi ."
990,"When I was young, I'd listen to the radio, waiting for my favorite songs.",当我还是个小女孩的时候，我常听着收音机，等待我最喜欢的歌。,"Dāng wǒ hái shì gè xiǎo nǚhái de shíhòu, wǒ cháng tīngzhe shōuyīnjī, děngdài wǒ zuì xǐhuān de gē.","Khi tôi còn là một cô bé, tôi thường nghe đài và chờ đợi bài hát yêu thích của tôi.","làm ta hay là cái tiểu nữ hài lúc , ta thường nghe radio , chờ đợi ta thích nhất, bài hát ."
