id,zh,py,en,vi,HSK,s1zh,s1py,s1en,s1vi
4005,权益,quán yì,rights and benefits,quyền lợi,6,他们支持日本接管德国以前在山东省的所有权益。,tāmen zhīchí Rìběn jiēguǎn Déguó yǐqián zài Shāndōng Shěng de suǒyǒuquán yì,They supported Japan's take over of all the former German interests in Shandong Province.,bọn họ ủng hộ Nhật Bản tiếp quản Đức trước kia đang Sơn Đông tỉnh quyền sở hữu ích .
4006,拳头,quán tou,"fist, clenched fist",nắm đấm,6,他用拳头打我.,tā yòng quántou dǎ wǒ,He struck me with his fist.,hắn dùng nắm đấm đánh ta .
4007,犬,quǎn,dog,chó,6,"他遇上了警卫犬, 把他吓坏了.",tā yù shàng le jǐngwèi quǎn bǎ tā xiàhuài le,His encounter with the guard dog had completely unnerved him.,"hắn gặp được cảnh vệ chó , đem hắn dọa sợ ."
4008,缺口,quē kǒu,"nick, jag, gap, shortfall",lỗ hổng,6,大浪在堤上冲出一个缺口.,dàlàng zài dī shàng chōngchū yī gè quēkǒu,The huge waves made a breach in the sea wall.,sóng lớn đang trên đê xông ra một lỗ hổng .
4009,缺席,quē xí,"absence, absent",vắng mặt,6,许多学生缺席，特别是连班长也没来。,xǔduō xuésheng quēxí tèbié shì lián bānzhǎng yě méi lái,"Many students were absent, notably the monitor.","rất nhiều học sinh vắng mặt , đặc biệt ngay cả ban trưởng cũng không đến ."
4010,缺陷,quē xiàn,"defect, flaw, physical defect",thiếu hụt,6,那种新汽车因有机械缺陷只好撤出市场.,nàzhǒng xīn qìchē yīn yǒu jīxiè quēxiàn zhǐhǎo chèchū shìchǎng,The new car had to be withdrawn from the market because of a mechanical defect.,loại đó mới ô tô bởi vì hữu cơ giới thiếu hụt đành phải rút khỏi thị trường .
4011,瘸,qué,lame,què,6,他的脚稍有先天畸形，走起路来一瘸一拐。,tā de jiǎo shāo yǒu xiāntiān jīxíng zǒu qǐ lù lái yīquéyīguǎi,He was born with a slight deformity of the feet which made him limp.,"chân của hắn có chút dị dạng bẩm sinh , đi trên đường khập khiễng ."
4012,确保,què bǎo,"to ensure, to guarantee",bảo đảm,6,我们及早订票以确保有座。,wǒmen jízǎo dìngpiào yǐ quèbǎo yǒu zuò,We book early to assure ourselves of seats.,chúng ta sớm cho kịp đặt trước vé dùng bảo đảm có tòa .
4013,确立,què lì,"to establish, to institute",xác lập,6,资产阶级政客们为了要在自己政党内确立有利地位而钻营策划。,zīchǎnjiējí zhèngkè men wèile yào zài zìjǐ zhèngdǎng nèi quèlì yǒulì dìwèi ér zuānyíng cèhuà,The bourgeois politicians jockeyed about in order to establish advantageous positions within their party.,giai cấp tư sản đám chính khách bọn họ vì muốn đang tự mình chính đảng trong xác lập có lợi địa vị mà luồn cúi bày ra .
4014,确切,què qiè,"definite, exact, precise",xác thực,6,我不知道确切的日子。,wǒ bù zhīdào quèqiè de rìzi,I don't know the exact date.,ta không biết xác thực thời gian .
4015,确信,què xìn,"to be convinced, to be sure, to firmly believe, to be positive that, definite news",xác thực tin,6,我们确信能胜利。,wǒmen quèxìn néng shènglì,We are confident of victory.,chúng ta xác thực tin có thể thắng lợi .
4016,群众,qún zhòng,"mass, multitude, the masses",quần chúng,6,群众纷纷向演讲人扔臭鸡蛋。,qúnzhòng fēnfēn xiàng yǎnjiǎng rén rēng chòu jīdàn,The crowds pelted bad eggs at the speaker.,quần chúng nhao nhao hướng diễn thuyết người ném trứng thối .
4017,染,rǎn,"to dye, to catch (a disease), to acquire (bad habits etc), to contaminate, to add colour washes to a painting",nhiễm,6,这块布料染的不好。,zhè kuài bùliào rǎn de bùhǎo,This piece of cloth has bad coloration.,khối này vải vóc nhuộm không tốt .
4018,让步,ràng bù,"to concede, to give in, to yield, a concession",nhượng bộ,6,我们只能做些较小的让步，但这就可能打破僵局。,wǒmen zhǐnéng zuò xiē jiào xiǎode ràngbù dàn zhè jiù kěnéng dǎpò jiāngjú,"We can only make minor concessions, but it might break the deadlock.","chúng ta chỉ có thể làm chút ít nhỏ bé nhượng bộ , nhưng cái này liền có thể có thể đánh bụp cục diện bế tắc ."
4019,饶恕,ráo shù,"to forgive, to pardon, to spare",tha thứ,6,我决不能饶恕查理曼大帝之将时钟引进西方文明这一件事情。,wǒ jué bùnéng ráoshù chá lǐ màn dà dì zhī jiāng shízhōng yǐnjìn Xīfāng wénmíng zhè yī jiàn shìqing,I can never forgive Charlemagne for introducing clocks into Western civilization.,ta quyết không có thể tha tha thứ tra lý man đại đế chi tướng đồng hồ đưa vào phương Tây văn minh chuyện này tình .
4020,扰乱,rǎo luàn,"to disturb, to perturb, to harass",nhiễu loạn,6,没有任何事能扰乱他平静的心绪.,méiyǒu rènhé shì néng rǎoluàn tā píngjìng de xīnxù,Nothing disturbs his equanimity.,không có bất kỳ cái gì chuyện có thể nhiễu loạn hắn tâm bình tĩnh tự .
4021,惹祸,rě huò,"stirring up trouble, to invite disaster",gây tai hoạ,6,,,,
4022,热泪盈眶,rè lèi yíng kuàng,"eyes brimming with tears of excitement (idiom), extremely moved",lệ nóng doanh tròng,6,,,,
4023,热门,rè mén,"popular, hot, in vogue",đứng đầu,6,"大家都在给他们心目中的热门参赛者加油, 暗使劲儿使之获胜.",dàjiā dōu zài gěi tāmen xīnmù zhòngdì rèmén cānsàizhě jiāyóu àn shǐjìnr shǐ zhī huòshèng,"The crowd were cheering their favourite on, willing her to win.","tất cả mọi người đang cho bọn hắn trong suy nghĩ đứng đầu người dự thi cố lên , ngầm sai sức lực làm cho chiến thắng ."
4024,人道,rén dào,"human sympathy, humanitarianism, humane, the 'human way', one of the stages in the cycle of reincarnation (Buddhism), sexual intercourse",nhân đạo,6,这位人道主义科学家呼吁改善穷人的生活条件。,zhèwèi réndàozhǔyì kēxuéjiā hūyù gǎishàn qióngrén de shēnghuó tiáojiàn,The humanitarian scientist called on the improvement of the poor's living condition.,vị này chủ nghĩa nhân đạo nhà khoa học hô hào cải thiện người nghèo đời sống điều kiện .
4025,人格,rén gé,"personality, integrity, dignity",nhân cách,6,习惯性行为一种固定的行动模式，能引起神经失常或造成人格,xíguàn xìngxíngwéi yīzhǒng gùdìng de xíngdòng móshì néng yǐnqǐ shénjīngshīcháng huò zàochéng réngé,A pattern of behavior constituting a mental disorder or personality type.,"thói quen được làm một loại cố định hành động hình thức , có thể dẫn tới thần kinh thất thường hoặc tạo thành nhân cách"
4026,人工,rén gōng,"artificial, manpower, manual work",nhân công,6,属一群拥有共同祖先和明显特征的有机体，尤指属于同一物种的一群，通过人工选择来发展，通过有控制的繁殖来维持,shǔ yī qún yōngyǒu gòngtóng zǔxiān hé míngxiǎn tèzhēng de yǒujītǐ yóuzhǐ shǔyú tóngyī wùzhǒng de yī qún tōngguò réngōng xuǎnzé lái fāzhǎn tōngguò yǒu kòngzhì de fánzhí lái wéichí,"A group of organisms having common ancestors and certain distinguishable characteristics, especially a group within a species developed by artificial selection and maintained by controlled propagation.","thuộc một đám có cộng đồng tổ tiên và rõ ràng đặc thù cơ thể , càng chỉ thuộc về cùng một giống loài một đám , thông qua nhân công lựa chọn đến phát triển , thông qua có khống chế sinh sôi để duy trì"
4027,人家,rén jia,"other people, sb else, he, she or they, I, me (referring to oneself as 'one' or 'people')",người ta,6,人家告诉我她很可爱，可是她根本不是那样。,rénjiā gàosu wǒ tā hěn kě'ài kěshì tā gēnběn bùshì nàyàng,People had told me she was very pleasant but she's nothing of the kind.,"người ta nói cho ta biết nàng vô cùng đáng yêu , nhưng nàng căn bản không phải như thế ."
4028,人间,rén jiān,"the human world, the earth",thế gian,6,假使亚当重返人间，他会懂得的恐怕只有那些老掉牙的笑话了。,jiǎshǐ Yàdāng chóngfǎn rénjiān tā huì dǒngde de kǒngpà zhǐyǒu nàxiē lǎodiàoyá de xiàohuà le,If Adam came on earth again the only thing he will recognize will be the old joke.,"giả sử á lúc quay về thế gian , hắn lại hiểu được chỉ sợ chỉ có những kia cũ rích chê cười ."
4029,人士,rén shì,"person, figure, public figure",nhân sĩ,6,"伤残人士在治疗中, 自助自立是个重要因素.",shāngcán rénshì zài zhìliáo zhōng zìzhù zìlì shì gè zhòngyào yīnsù,Self-help is an important element in therapy for the handicapped.,"tàn tật nhân sĩ đang chữa trị trong , tự phục vụ tự lập là nhân tố trọng yếu ."
4030,人为,rén wéi,"artificial, man-made, having human cause or origin, human attempt or effort",người là,6,那位诗人为她写了许多诗。,nà wèi shī rénwéi tā xiě le xǔduō shī,The poet has written many poems for her.,vị kia thi nhân là nàng viết rất nhiều thơ .
4031,人性,rén xìng,"human nature, humanity, human, the totality of human attributes",nhân tính,6,人性厌恶这样的罪行。,rénxìng yànwù zhèyàng de zuìxíng,Human nature revolts at such a crime.,nhân tính chán ghét dạng này tội ác .
4032,人质,rén zhì,hostage,con tin,6,他们相互交换了人质.,tāmen xiānghù jiāohuàn le rénzhì,They exchanged hostages with each other.,bọn họ tương hỗ trao đổi con tin .
4033,仁慈,rén cí,"benevolent, charitable, kind, kindly, kindness, merciful",nhân từ,6,她对犯人很仁慈.,tā duì fànrén hěn réncí,She was merciful to the prisoners.,nàng đối với phạm nhân vô cùng nhân từ .
4034,忍耐,rěn nài,"to show restraint, to repress (anger etc), to exercise patience",kiềm chế,6,我不能再忍耐了。,wǒ bùnéng zài rěnnài le,I can't put up with you any longer.,ta không thể lại kiềm chế .
4035,忍受,rěn shòu,"to bear, to endure",chịu đựng,6,我再也不能忍受了。,wǒ zàiyě bùnéng rěnshòu le,I can't stick it any more.,ta cũng không tiếp tục có thể chịu được .
4036,认定,rèn dìng,"to maintain (that sth is true), to determine (a fact), determination (of an amount), of the firm opinion, to believe firmly, to set one's mind on, to identify with",nhận định,6,缓刑对已被认定犯有某罪的人实行暂缓执行其刑罚，并在其保证良好行为的基础上给予暂时的自由,huǎnxíng duì yǐ bèi rèndìng fàn yǒu mǒu zuì de rén shíxíng zànhuǎn zhíxíng qí xíngfá bìng zài qí bǎozhèng liánghǎo xíngwéi de jīchǔ shàng jǐyǔ zànshí de zìyóu,The act of suspending the sentence of a person convicted of a criminal offense and granting that person provisional freedom on the promise of good behavior.,"hoãn thi hành hình phạt đối với đã bị nhận định phạm có nào đó tội người thực hành tạm hoãn chấp hành hình phạt , cũng đang bảo đảm tốt đẹp được vì cái gì trên cơ sở cho tạm thời tự do"
4037,认可,rèn kě,"to approve, approval, acknowledgment, OK",tán thành,6,设备必须从公司认可的供应商那里购买。,shèbèi bìxū cóng gōngsī rènkě de gōngyìngshāng nàli gòumǎi,The equipment must be bought from a supplier approved by the company.,thiết bị nhất định phải theo công ty công nhận thương nghiệp cung ứng chỗ đó mua sắm .
4038,任命,rèn mìng,"to appoint and nominate, (job) appointment",bổ nhiệm,6,他被任命为科长。,tā bèi rènmìng wéi kēzhǎng,He is nominated section chief.,hắn được bổ nhiệm là khoa trưởng .
4039,任性,rèn xìng,"willful, headstrong, uninhibited",tùy hứng,6,我老婆有一般铁一般的任性脾气。,wǒ lǎopó yǒu yībān tiě yībān de rènxìng píqi,My wife has a whim of iron.,lão bà của ta có bình thường như sắt thép tùy hứng tính tình .
4040,任意,rèn yì,"arbitrary, at will, at random",tùy ý,6,从一副牌中任意选出一张,cóng yī fù pái zhōng rènyì xuǎnchū yī zhāng,Chose a card at random from the deck.,theo một bộ bài trong tùy ý tuyển ra một tờ
4041,任重道远,rèn zhòng dào yuǎn,"a heavy load and a long road, fig. to bear heavy responsibilities through a long struggle (cf Confucian Analects, 8.7)",gánh nặng đường xa,6,,,,
4042,仍旧,réng jiù,"still (remaining), to remain (the same), yet",như cũ,6,在你看来，停车时把汽车的保险杆部分突出在人行道上似乎是微不足道的，但就法制观念而言，这仍旧是一种犯法的行为。,zài nǐ kànlai tíngchē shí bǎ qìchē de bǎoxiǎn gān bùfen tūchū zài rénxíngdào shàng sìhū shì wēibùzúdào de dàn jiù fǎzhì guānniàn éryán zhè réngjiù shì yīzhǒng fànfǎ de xíngwéi,"Parking with your car bumper overhanging the pavement may seem trivial to you, but in the eyes of the law it is still an offence.","theo ý của ngươi , dừng xe thời gian đem ô tô bảo hiểm cán bộ phận đột xuất đang lối đi bộ lên tựa hồ là nhỏ nhặt không đáng kể , nhưng thì pháp chế quan niệm mà nói , cái này vẫn như cũ là một loại phạm pháp được là ."
4043,日新月异,rì xīn yuè yì,"daily renewal, monthly change (idiom); every day sees new developments, rapid progress",biến chuyển từng ngày,6,,,,
4044,日益,rì yì,"day by day, more and more, increasingly, more and more with each passing day",ngày càng,6,为独立而斗争的势头日益增长。,wéi dúlì ér dòuzhēng de shìtóu rìyì zēngzhǎng,The struggle for independence is gaining momentum every day.,là độc lập mà đấu tranh tình thế ngày càng tăng trưởng .
4045,融洽,róng qià,"harmonious, friendly relations, on good terms with one another",hòa hợp,6,他们生活在一起十分融洽.,tāmen shēnghuó zàiyīqǐ shífēn róngqià,They live in perfect accord with each other.,bọn họ đời sống đang cùng nơi thập phần hòa hợp .
